"Sepal.Length","Sepal.Width","Petal.Length","Petal.Width","Species","predictions"
5.1,3.5,1.4,0.2,"setosa",0.639664605797621
4.9,3,1.4,0.2,"setosa",0.489081091662453
4.7,3.2,1.3,0.2,"setosa",0.338497577527284
4.6,3.1,1.5,0.2,"setosa",0.263205820459699
5,3.6,1.4,0.2,"setosa",0.564372848730037
5.4,3.9,1.7,0.4,"setosa",0.865539877000375
4.6,3.4,1.4,0.3,"setosa",0.263205820459699
5,3.4,1.5,0.2,"setosa",0.564372848730037
4.4,2.9,1.4,0.2,"setosa",0.11262230632453
4.9,3.1,1.5,0.1,"setosa",0.489081091662453
4.8,3.4,1.6,0.2,"setosa",0.413789334594868
4.8,3,1.4,0.1,"setosa",0.413789334594868
5.7,4.4,1.5,0.4,"setosa",1.09141514820313
5.4,3.9,1.3,0.4,"setosa",0.865539877000375
5.7,3.8,1.7,0.3,"setosa",1.09141514820313
5.4,3.4,1.7,0.2,"setosa",0.865539877000375
5.1,3.7,1.5,0.4,"setosa",0.639664605797621
4.6,3.6,1,0.2,"setosa",0.263205820459699
5,3,1.6,0.2,"setosa",0.564372848730037
5.2,3.5,1.5,0.2,"setosa",0.714956362865206
5.2,3.4,1.4,0.2,"setosa",0.714956362865206
4.7,3.2,1.6,0.2,"setosa",0.338497577527284
5.4,3.4,1.5,0.4,"setosa",0.865539877000375
5.5,4.2,1.4,0.2,"setosa",0.94083163406796
4.9,3.1,1.5,0.2,"setosa",0.489081091662453
4.9,3.6,1.4,0.1,"setosa",0.489081091662453
5,3.5,1.3,0.3,"setosa",0.564372848730037
4.5,2.3,1.3,0.3,"setosa",0.187914063392114
4.4,3.2,1.3,0.2,"setosa",0.11262230632453
5,3.5,1.6,0.6,"setosa",0.564372848730037
5.1,3.8,1.6,0.2,"setosa",0.639664605797621
5.3,3.7,1.5,0.2,"setosa",0.79024811993279
7,3.2,4.7,1.4,"versicolor",2.07020799008173
6.4,3.2,4.5,1.5,"versicolor",1.61845744767622
6.9,3.1,4.9,1.5,"versicolor",1.99491623301414
5.5,2.3,4,1.3,"versicolor",0.94083163406796
6.5,2.8,4.6,1.5,"versicolor",1.6937492047438
5.7,2.8,4.5,1.3,"versicolor",1.09141514820313
5,2,3.5,1,"versicolor",0.564372848730037
5.9,3,4.2,1.5,"versicolor",1.2419986623383
6.1,2.9,4.7,1.4,"versicolor",1.39258217647347
5.6,2.9,3.6,1.3,"versicolor",1.01612339113554
6.7,3.1,4.4,1.4,"versicolor",1.84433271887897
5.6,3,4.5,1.5,"versicolor",1.01612339113554
5.8,2.7,4.1,1,"versicolor",1.16670690527071
6.2,2.2,4.5,1.5,"versicolor",1.46787393354105
5.6,2.5,3.9,1.1,"versicolor",1.01612339113554
5.9,3.2,4.8,1.8,"versicolor",1.2419986623383
6.1,2.8,4,1.3,"versicolor",1.39258217647347
6.3,2.5,4.9,1.5,"versicolor",1.54316569060863
6.1,2.8,4.7,1.2,"versicolor",1.39258217647347
6.6,3,4.4,1.4,"versicolor",1.76904096181139
6.7,3,5,1.7,"versicolor",1.84433271887897
6,2.9,4.5,1.5,"versicolor",1.31729041940588
5.5,2.4,3.8,1.1,"versicolor",0.94083163406796
5.5,2.4,3.7,1,"versicolor",0.94083163406796
5.8,2.7,3.9,1.2,"versicolor",1.16670690527071
5.4,3,4.5,1.5,"versicolor",0.865539877000375
6,3.4,4.5,1.6,"versicolor",1.31729041940588
6.7,3.1,4.7,1.5,"versicolor",1.84433271887897
6.3,2.3,4.4,1.3,"versicolor",1.54316569060863
5.6,3,4.1,1.3,"versicolor",1.01612339113554
5.5,2.5,4,1.3,"versicolor",0.94083163406796
6.1,3,4.6,1.4,"versicolor",1.39258217647347
5.7,3,4.2,1.2,"versicolor",1.09141514820313
5.7,2.9,4.2,1.3,"versicolor",1.09141514820313
5.7,2.8,4.1,1.3,"versicolor",1.09141514820313
7.1,3,5.9,2.1,"virginica",2.14549974714931
6.5,3,5.8,2.2,"virginica",1.6937492047438
7.6,3,6.6,2.1,"virginica",2.52195853248723
7.3,2.9,6.3,1.8,"virginica",2.29608326128448
7.2,3.6,6.1,2.5,"virginica",2.2207915042169
6.8,3,5.5,2.1,"virginica",1.91962447594656
5.7,2.5,5,2,"virginica",1.09141514820313
5.8,2.8,5.1,2.4,"virginica",1.16670690527071
6.4,3.2,5.3,2.3,"virginica",1.61845744767622
6.5,3,5.5,1.8,"virginica",1.6937492047438
6,2.2,5,1.5,"virginica",1.31729041940588
5.6,2.8,4.9,2,"virginica",1.01612339113554
7.7,2.8,6.7,2,"virginica",2.59725028955482
6.3,2.7,4.9,1.8,"virginica",1.54316569060863
6.7,3.3,5.7,2.1,"virginica",1.84433271887897
7.2,3.2,6,1.8,"virginica",2.2207915042169
6.2,2.8,4.8,1.8,"virginica",1.46787393354105
6.1,3,4.9,1.8,"virginica",1.39258217647347
7.4,2.8,6.1,1.9,"virginica",2.37137501835206
6.3,2.8,5.1,1.5,"virginica",1.54316569060863
6.1,2.6,5.6,1.4,"virginica",1.39258217647347
6.4,3.1,5.5,1.8,"virginica",1.61845744767622
6.7,3.1,5.6,2.4,"virginica",1.84433271887897
6.9,3.1,5.1,2.3,"virginica",1.99491623301414
5.8,2.7,5.1,1.9,"virginica",1.16670690527071
6.8,3.2,5.9,2.3,"virginica",1.91962447594656
6.7,3.3,5.7,2.5,"virginica",1.84433271887897
6.7,3,5.2,2.3,"virginica",1.84433271887897
6.3,2.5,5,1.9,"virginica",1.54316569060863
6.5,3,5.2,2,"virginica",1.6937492047438
